emotion,keywords,personality,sentiment_hq_score,sentiment_score,source,summarization,title,url,thumbnail
"{'joy': 0.34005206823349, 'sadness': 0.30734288692474365, 'anger': 0.15695862472057343, 'fear': 0.14114460349082947, 'surprise': 0.05450182408094406}","{'digital': 0.2883430335062292, 'like': 0.20413430673365474, 'mobile': 0.18600178232879086, 'cash': 0.17383512769508977, 'advanced': 0.15010386691975544}","{'extraversion': 0.5035181808269631, 'openness': 0.7224558825804808, 'agreeableness': 0.37239304132628853, 'conscientiousness': 0.49676618630858677}",0.80367523,0.836004358,CNN,"The opinions expressed in this commentary are her own.,For many people all over the world, paper cash and metal coins are already items of memory.,But some countries, like the United States, are already falling behind in this race to adopt digital currency.,As the technology developed and as support for e-commerce grew, many Chinese cities skipped right over credit card machines in favor of digital payments via WeChat and similar providers.,The infrastructure, systems and processes to handle digital payments were relatively easy to adapt, and both industry and the government readily embraced the new digital reality.","The world is embracing digital currency, and the US is falling behind",https://www.cnn.com/2018/10/12/perspectives/digital-currency-race/index.html,https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=0
"{'sadness': 0.31935280561447144, 'fear': 0.22614291310310364, 'joy': 0.21900704503059387, 'surprise': 0.1211387887597084, 'anger': 0.11435840278863907}","{'blockchain': 0.29520415672288813, 'ibm': 0.2769534848438618, 'technology': 0.22806351521323956, 'said': 0.1877385277104033, 'olson': 0.16592896152600398}","{'extraversion': 0.43063233161376696, 'openness': 0.8296960205118231, 'agreeableness': 0.302102587202139, 'conscientiousness': 0.3516872516651263}",0.73766553,0.955378944,CNN,"IBM is betting heavily on blockchain technology revolutionizing everything from shipping to banking.,Industry watchers say it's a risky move, given the relative novelty of the technology and the hype surrounding it, but say IBM is well positioned to make it pay off.,For the uninitiated, the blockchain is essentially a shared digital ledger.,Once entered, transactions cannot be changed, creating an immutable record.,While IBM was open to using blockchain more broadly, it realized the technology wasn't a panacea.",IBM is betting big on blockchain technology. Is it worth the risk?,https://money.cnn.com/2018/09/06/technology/ibm-blockchain-gamble/index.html,https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=1
"{'sadness': 0.3246845602989197, 'anger': 0.2537006437778473, 'fear': 0.21350722014904022, 'joy': 0.1232747882604599, 'surprise': 0.08483272790908813}","{'novogratz': 0.30770782694442417, 'bitcoin': 0.2581663420032631, 'like': 0.2319655229983785, 'galaxy': 0.17419962365646338, 'companies': 0.14878985779149945}","{'extraversion': 0.4978878010632629, 'openness': 0.6956730301135053, 'agreeableness': 0.37019158141654834, 'conscientiousness': 0.5319199803574333}",0.9454113,0.905709371,CNN,"Bitcoin bull Mike Novogratz thinks the cryptocurrency is poised for major growth.,""You're seeing now institutions moving in,"" the founder and CEO of Galaxy Digital told CNN international correspondent Paula Newton on CNNMoney's ""Markets Now"" on Wednesday.,Novogratz pointed out that exchanges and big companies are starting to take the cryptocurrency more seriously.,""Starbucks and Microsoft'll allow you to use bitcoin,"" he said.,Eventually, bitcoin may become a part of people's financial portfolios.",Bitcoin is ready to grow again. Here's why,https://money.cnn.com/2018/09/26/investing/markets-now-novogratz-bitcoin/index.html,https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=2
"{'sadness': 0.31202322244644165, 'joy': 0.24938616156578064, 'fear': 0.22978845238685608, 'anger': 0.17735151946544647, 'surprise': 0.03145063295960426}","{'civil': 0.3540661257863517, 'token': 0.20803463940502565, 'sale': 0.18892895088596395, 'iles': 0.15963789978196735, 'said': 0.15104611092157572}","{'extraversion': 0.5015678448697268, 'openness': 0.6583384008051079, 'agreeableness': 0.4638694284255044, 'conscientiousness': 0.4994171756780011}",0.6200292,0.127604607,CNN,"So far, it's not clear whether Civil will succeed.,The website Token Foundry, which has been measuring the sale, says about $1.4 million worth of tokens has been sold since the sale started in mid-September  well short of the $8 million Civil has set as its soft cap for the project.,Its ultimate goal is to raise $24 million worth of tokens.,Civil CEO Matthew Iles says the Token Foundry numbers don't tally every sale the company has made.,Token ambitions

Civil views itself as a home for good journalism.",This week could make  or break  blockchain-powered journalism,https://www.cnn.com/2018/10/09/media/civil-media-token-sale/index.html,https://assets.fontsinuse.com/static/use-media-items/28/27012/full-1400x1400/5670256f/cnn-logo-square.png?resolution=3
"{'sadness': 0.30164045095443726, 'anger': 0.21974487602710724, 'fear': 0.21725811064243317, 'joy': 0.14870642125606537, 'surprise': 0.11265015602111816}","{'cryptocurrency': 0.32196333636423996, 'currency': 0.25659825673420383, 'digital': 0.2563565513018856, 'bitcoin': 0.18155990135496963, 'market': 0.14619939900099393}","{'extraversion': 0.5699000457080745, 'openness': 0.6980466313451248, 'agreeableness': 0.32482313691524034, 'conscientiousness': 0.5468249922168665}",0.43082756,0.12437381,investopedia,"I have seen plenty of articles, blogs and news stories recently on cryptocurrency, cryptocurrency mining and the bitcoin fork.,I even have a personal friend who has hopped on the cryptocurrency bandwagon, if you will, and realized many more investors may be considering cryptocurrency for their own portfolios.,From what you may read and hear, cryptocurrency seems to have some potential.,But is it the new currency that can eventually replace or co-exist alongside existing currencies?,Or is it a designer currency destined to fail like a passing fad?",Investing in Cryptocurrency: The Risks,https://www.investopedia.com/advisor-network/articles/investing-cryptocurrency-risks/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'sadness': 0.3733707070350647, 'fear': 0.1977466344833374, 'anger': 0.15761470794677734, 'surprise': 0.13656164705753326, 'joy': 0.1347062885761261}","{'crypto': 0.40415260272911124, 'bitcoin': 0.18464759272327583, 'cryptocurrencies': 0.17700359730637705, 'market': 0.1687469983165038, 'new': 0.1412662830295882}","{'extraversion': 0.4859840898948201, 'openness': 0.7365690987800884, 'agreeableness': 0.3410635449384388, 'conscientiousness': 0.5076392788825365}",0.9433965,0.607583067,investopedia,"Even so, ten years later, a single bitcoin is worth four figures, and it appears to have found some stability in tandem with its growing maturity.,Moreover, for all their promise, cryptocurrencies still can't seem to break into the mainstream.,There are still very few merchants that accept crypto payments, and most financial services continue to be settled in fiat currencies.,Critics say crypto may have been a flash in the pan.,More importantly, the leeway and freedom cryptocurrencies enjoyed as unregulated commodities is rapidly coming to an end.",Is Cryptocurrency Dead for Good?,https://www.investopedia.com/tech/cryptocurrency-dead-good/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'joy': 0.3240058422088623, 'surprise': 0.26993003487586975, 'sadness': 0.23727846145629883, 'fear': 0.10286206007003784, 'anger': 0.06592357158660889}","{'litecoin': 0.5938873327786168, 'cryptocurrency': 0.20309237318266343, 'like': 0.15990007291377017, 'appeal': 0.13121193142069115, 'bitcoin': 0.11275102123456929}","{'extraversion': 0.4665962851653665, 'openness': 0.7220614822668449, 'agreeableness': 0.2978106679623587, 'conscientiousness': 0.5045875968604252}",0.9963553,0.998398491,investopedia,"Despite bitcoin's relative youth at just under 10 years old, its fervent popularity has spawned a cryptocurrency revolution and several competitors.,An influx of new money from both retail investors and institutional entities means that these alternative cryptocurrencies, or “altcoins”, are under new scrutiny as traders look to diversify away from bitcoin.,One of the most prominent among them is Litecoin, in terms of mass appeal, market capitalization and potential for adoption.,Litecoin's Origins

Litecoin was launched in the shadow of bitcoin, yet was inspired by the ‘King Coin', particularly by its decentralized approach to currency.,Cryptocurrency enthusiasts with many coins to explore have increasingly highlighted Litecoin due to its speed.",Is Litecoin The Future of Cryptocurrency?,https://www.investopedia.com/news/litecoin-future-cryptocurrency/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'sadness': 0.36350205540657043, 'fear': 0.24278436601161957, 'anger': 0.19883832335472107, 'joy': 0.15096735954284668, 'surprise': 0.043907903134822845}","{'etfs': 0.4279684074236408, 'digital': 0.244358194805409, 'cryptocurrency': 0.22912287760061592, 'like': 0.19674814154912995, 'etf': 0.19367444676581277}","{'extraversion': 0.5493814859349849, 'openness': 0.6500706873207448, 'agreeableness': 0.29127899387426537, 'conscientiousness': 0.6691558813226635}",0.9430759,0.897339525,investopedia,"So why haven't cryptocurrency-based ETFs taken off so far?,Cryptocurrencies have been another of the hottest trends in the investment world in the past couple of years.,(See also: Are Bitcoin ETFs 'Nearly Certain'?),A cryptocurrency ETF works, in theory, like any other ETF.,Blockchain technology supports the cryptocurrency space and is closely linked with digital tokens.",Understanding Cryptocurrency ETFs,https://www.investopedia.com/investing/understanding-cryptocurrency-etfs/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'joy': 0.3676186800003052, 'sadness': 0.2950700521469116, 'surprise': 0.13750195503234863, 'fear': 0.12969312071800232, 'anger': 0.07011617720127106}","{'bitcoin': 0.33782924165437234, 'cryptocurrency': 0.2873715221826708, 'digital': 0.1778185128267647, 'global': 0.1665450268933695, 'coinbase': 0.1560589111386821}","{'extraversion': 0.4441375530372232, 'openness': 0.7392890325216489, 'agreeableness': 0.3023827525607326, 'conscientiousness': 0.5385470167658795}",0.40846705,0.068247337,investopedia,"Bitcoin, the largest cryptocurrency globally, fell from about $6,500 to the low $6,300s heading into Monday.,Similar stories can be found for other industry leaders, including ethereum and ripple, both of which actually surpassed their selling prices from last weekend.,One of the biggest movers this past week, though, was the fourth-largest digital coin, bitcoin cash.,Though bitcoin cash has led the charge, nearly all of the top 25 coins by market cap have climbed this weekend.,Because bitcoin futures on Bakkt are physically settled, the party will receive delivery of a bitcoin at the end of the contract period.",Cryptocurrency This Week,https://www.investopedia.com/tech/cryptocurrency-this-week/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
"{'sadness': 0.3888077437877655, 'anger': 0.20376279950141907, 'fear': 0.1611553132534027, 'joy': 0.13955307006835938, 'surprise': 0.10672106593847275}","{'investors': 0.1973605903088148, 'market': 0.1955934204481032, 'space': 0.19244914484111197, 'price': 0.17867236010987964, 'lee': 0.16463492489936823}","{'extraversion': 0.4194291729038045, 'openness': 0.7143527637018221, 'agreeableness': 0.3498018331695021, 'conscientiousness': 0.5557871902811116}",0.6245805,0.142179804,investopedia,"In spite of predictions that the cryptocurrency market is nothing more than a bubble waiting to burst, for the time being the space has refused to crash completely.,Indeed, although the total market cap of the digital currency space is only a fraction of what it was just months ago, with major players like bitcoin falling by more than 50% in the past six months, it appears that there is still life in the cryptocurrency space nonetheless.,The notoriously volatile market has seen its share of ups and downs, and the current pullback appears to be the largest to date.,Good Time for New Investors?,As of the date this article was written, the author owns bitcoin and ripple.",Are There Advantages to a Cryptocurrency Market Pullback?,https://www.investopedia.com/news/are-there-advantages-cryptocurrency-market-pullback/,https://i.investopedia.com/facebook/investopedia-facebook-image.gif
