emotion,keywords,personality,sentiment_hq_score,sentiment_score,source,summarization,title,url
"{'joy': 0.5086571574211121, 'sadness': 0.2415652871131897, 'surprise': 0.1189970076084137, 'fear': 0.07388854771852493, 'anger': 0.056891996413469315}","{'oil': 0.44622262199371376, 'prices': 0.20287698660592923, 'trump': 0.18672261341454455, 'market': 0.15746731777785045, 'demand': 0.14056464662884455}","{'extraversion': 0.391266872317104, 'openness': 0.7017942318849474, 'agreeableness': 0.3246108968006937, 'conscientiousness': 0.5582217354884093}",0.45424128,0.597665434,CNN,"New York (CNN Business) The meltdown in the oil market has caught almost everyone off guard.,US oil prices plummeted another 7% on Friday, breaking below $51 a barrel for the first time in 13 months.,""Oil prices getting lower, Great!,That's critical because Saudi Arabia is like the central bank of oil.,Courvalin argued that the oil selloff has ""overshot"" the fundamentals.",The Great Oil Crash of 2018: What's really happening,https://www.cnn.com/2018/11/21/investing/oil-prices-trump-saudi-arabia/index.html
"{'joy': 0.4003790616989136, 'sadness': 0.25952136516571045, 'fear': 0.19270633161067963, 'surprise': 0.085392527282238, 'anger': 0.062000662088394165}","{'oil': 0.2938447355982278, 'said': 0.20726886371401182, 'opec': 0.19415608729437805, 'prices': 0.184060988407122, 'growth': 0.137529262131805}","{'extraversion': 0.34852737440901294, 'openness': 0.6955198250084279, 'agreeableness': 0.29250966875176676, 'conscientiousness': 0.5570461441730631}",0.69043875,0.461350202,thisismoney,"Oil prices last night crashed below $60 a barrel for the first time in more than a year amid growing fears of a global economic slowdown.,The value of a barrel of oil has fallen by about 20 per cent so far this month and has lost ground for seven straight weeks.,Brent crude hit its lowest levels since October 2017, dropping 6 per cent to $58.80 in frantic trading across the world, and is headed for its worst month since 2014

It peaked above $86 a barrel in early October, a four-year high.,At the same time, Opec said demand is likely to fall.,Like a big tax cut for America and the world.",Oil price plumbs the depths: Brent crude dives to below $60 a barrel on fears of a global slowdown | This is Money,https://www.thisismoney.co.uk/money/markets/article-6422877/Oil-price-plumbs-depths-Brent-crude-dives-60-barrel-fears-global-slowdown.html
"{'fear': 0.35872703790664673, 'sadness': 0.34308069944381714, 'joy': 0.12476236373186111, 'anger': 0.12027428299188614, 'surprise': 0.05315559357404709}","{'oil': 0.3371121480339946, 'fall': 0.2274952308313944, 'market': 0.16849512109786668, 'economic': 0.14985286707861759, 'global': 0.149422671528358}","{'extraversion': 0.3248061262449976, 'openness': 0.6786645174583542, 'agreeableness': 0.2896109887382441, 'conscientiousness': 0.6047954132844662}",0.5985352,0.529119172,thisismoney,"The price of oil slumped 7 per cent last night to its lowest level in 11 months amid fears of a global economic slowdown.,Brent crude sank to little more than $62 a barrel, its lowest level since last December.,It has now dropped 28 per cent from the highs hit four months ago.,Oil slump: Brent crude sank to little more than $62 a barrel, its lowest level since last December

The fall could lead to lower petrol and diesel prices for motorists  but it also reflects growing concerns about the world economy.,Traders are betting that demand for oil will be weaker next year than previously expected, because growth will be lower as a trade war between the US and China takes its toll.",Oil slumps on fears of global slowdown: Brent crude sinks to $62 a barrel | This is Money,https://www.thisismoney.co.uk/money/markets/article-6412163/Oil-slumps-fears-global-slowdown-Brent-crude-sinks-62-barrel.html
"{'sadness': 0.31843820214271545, 'joy': 0.3087064027786255, 'surprise': 0.15666143596172333, 'fear': 0.14213567972183228, 'anger': 0.07405826449394226}","{'shell': 0.3174921531804709, 'oil': 0.2707186803590107, 'said': 0.18030345256234873, 'investment': 0.17860851375767905, 'cost': 0.15978834886135895}","{'extraversion': 0.37824542441610565, 'openness': 0.6663490884771969, 'agreeableness': 0.28685355709310156, 'conscientiousness': 0.5681680211390572}",0.70905906,0.879406137,thisismoney,"Royal Dutch Shell booked £850million in revenue per day over the summer as it cashed in on rising oil prices.,Pain at the pumps: motorists have seen the price of Shell's unleaded petrol go over 130p/litre

Together the pair have reported an astonishing £141billion in combined revenues for the three months and profits of more than £7billion.,Both companies are riding the recovery of Brent crude oil prices, which hit a low of $27 per barrel two years ago but this month passed the $85 mark.,Ben van Beurden, Shell's chief executive, hailed ‘one of our strongest-ever quarters'.,Production during the quarter increased by 2 per cent to 3.6million barrels of oil a day.",How Shell rakes in £850 every day as motorists see price of petrol soaring | This is Money,https://www.thisismoney.co.uk/money/markets/article-6343835/How-Shell-rakes-850-day-motorists-price-petrol-soaring.html
"{'sadness': 0.34691107273101807, 'surprise': 0.25041404366493225, 'anger': 0.19996094703674316, 'joy': 0.12409403920173645, 'fear': 0.07861986756324768}","{'fuel': 0.38693061801832956, 'price': 0.2760128780605747, 'said': 0.23724294506181678, 'greedy': 0.20897959086646936, 'taxed': 0.20897959086646925}","{'extraversion': 0.30581903785972275, 'openness': 0.619195649974814, 'agreeableness': 0.28398404335766503, 'conscientiousness': 0.5525724795357934}",0.26803944,0.04561145,thisismoney,"Petrol stations have been encouraged to slash fuel prices after oil fell below $70 a barrel for the first time since April.,Campaigners said unleaded was on average 5p a litre more expensive than it should be while diesel was 3p steeper than necessary.,They accused 'greedy' suppliers of ripping off motorists at the pumps.,Oil has lost around 20 per cent of its value since reaching a four-year high above $86 a barrel last month.,'Pump prices should be, for petrol, 5p lower and diesel 3p lower.'",Fuel prices 'must fall' as oil dips below $70 | This is Money,https://www.thisismoney.co.uk/money/markets/article-6373211/Fuel-prices-fall-oil-dips-70.html
"{'sadness': 0.4197104871273041, 'fear': 0.17895913124084473, 'joy': 0.17082925140857697, 'anger': 0.12121139466762543, 'surprise': 0.10928976535797119}","{'simon': 0.2996451908896828, 'ago': 0.21942983023923227, 'big': 0.1970830124413715, 'jobson': 0.19708301244137147, 'savings': 0.19708301244136991}","{'extraversion': 0.4894449023877161, 'openness': 0.6885706370121963, 'agreeableness': 0.31175048727738225, 'conscientiousness': 0.48063941779492914}",0.2665544,0.495931174,thisismoney,"A year ago bitcoin could do no wrong  now it has slumped to 79 per cent below its peak.,So what went wrong for the much vaunted cryptocurrency?,The mania of a year ago gave way to a bust after Christmas and apart from a few short-lived rallies bitcoin has been mainly on the slide since.,That's not to say it has no use - the cryptocurrency and underlying technology are fascinating - but just because something has some value does not mean it can't end up massively overvalued and in a bubble.,On this week's podcast, Simon Lambert, Georgie Frost and Myron Jobson look at what went wrong for bitcoin and the other cryptocurrencies and what we can learn from the boom and bust.",What burst the bitcoin bubble and could it rise again? This is Money podcast | This is Money,https://www.thisismoney.co.uk/money/podcast/article-6422551/What-burst-bitcoin-bubble-rise-Money-podcast.html
"{'joy': 0.5554852485656738, 'fear': 0.18661896884441376, 'sadness': 0.14891770482063293, 'surprise': 0.07146911323070526, 'anger': 0.037509042769670486}","{'china': 0.3087946525181907, 'trump': 0.2337774639944958, 'trade': 0.21049841924021423, 'states': 0.2104984192402117, 'cancer': 0.2047894690227684}","{'extraversion': 0.4197757683568082, 'openness': 0.647163741499464, 'agreeableness': 0.3747846463270354, 'conscientiousness': 0.5451520866361157}",0.20158264,0.122541608,CNN,"London (CNN Business) 1.,China's currency: The yuan hit its lowest level against the US dollar since January 2017 in early trading in Asia, after the Trump administration decided not to label China a currency manipulator.,The decision by the United States comes in spite of the yuan's recent depreciation and the escalating trade war between the world's two biggest economies.,President Donald Trump promised to designate China currency manipulator during the 2016 campaign.,In the past six months, the yuan has dropped more than 9% against the dollar.",China's currency falls; Novartis deal; Oil prices slip,https://www.cnn.com/2018/10/18/investing/premarket-stocks-trading/index.html
"{'joy': 0.41164469718933105, 'sadness': 0.2174128293991089, 'fear': 0.1632922738790512, 'surprise': 0.1072588860988617, 'anger': 0.10039129853248596}","{'market': 0.3125084730332636, 'investing': 0.30783183026091293, 'gold': 0.22188423370846158, 'oil': 0.19513497655152434, 'black': 0.18979150136343503}","{'extraversion': 0.5456260339183322, 'openness': 0.6795932533585022, 'agreeableness': 0.3061901257749189, 'conscientiousness': 0.5702636373796682}",0.8925395,0.994868873,investopedia,"Related Articles

Investing Gold Or Oil: Which Is The Hotter Investment?,Investing in gold and oil is now easy and cheap for investors, but not without risk.,Insights The Best Black Friday Deals The best Black Friday deals are already being advertised, with shoppers poised to score serious savings.,Investing The Strategic Oil Reserves Explained Strategic oil reserves are one of the least known and least understood national security measures in the United States.,Investing Gold: The Other Currency Throughout history, gold has held its value against paper currencies.",4 Ways To Invest In Oil,https://www.investopedia.com/video/play/4-ways-to-invest-in-oil/
"{'sadness': 0.30324679613113403, 'anger': 0.24022966623306274, 'fear': 0.22906102240085602, 'joy': 0.19528387486934662, 'surprise': 0.032178621739149094}","{'oil': 0.4395413770931484, 'investment': 0.26833302614950316, 'companies': 0.2368974312798026, 'spending': 0.22071731329513392, 'journal': 0.14194402618904062}","{'extraversion': 0.32109377672106537, 'openness': 0.6823633613987503, 'agreeableness': 0.28822591011984305, 'conscientiousness': 0.6109501806826428}",0.9202565,0.921963521,investopedia,"The saying goes that the cure for low oil prices is low oil prices.,That saying hasn't held true just yet.,Analysts are equally concerned by the accelerating rate of reduced investment spending in 2016.,The Oil and Gas Journal provides additional insight into future investment spending.,The chart below from Reuters shows most major oil companies will reduce spending in 2016.",Is the Oil Industry Now Underinvesting? (OIL),https://www.investopedia.com/articles/investing/022316/oil-industry-now-underinvesting-oil.asp
"{'sadness': 0.45158493518829346, 'anger': 0.19516880810260773, 'fear': 0.1711389720439911, 'joy': 0.1545965075492859, 'surprise': 0.027510786429047585}","{'gas': 0.28619867138483085, 'tax': 0.23957957742870564, 'oil': 0.23391575423019625, 'income': 0.2328811444670979, 'energy': 0.22896584804670664}","{'extraversion': 0.4466304267614575, 'openness': 0.6991061220102222, 'agreeableness': 0.29776810135757714, 'conscientiousness': 0.59192453607403}",0.9412679,0.760372233,investopedia,"The substantial rise in energy prices in the mid-2000s attracted many investors seeking aggressive growth and profits in the oil and gas industry.,Limited partnerships, working interests and unit investment trusts (UITs) all provide pass-through treatment of both income and deductions derived from oil and gas investments at the wellhead.,This article will examine the nature and purpose of oil and gas UITs, their advantages and disadvantages, and help you decide if they should be fueling your portfolio.,SEE: Oil And Gas Industry Primer



Nature and Composition

By definition, oil and gas UITs are very similar to other UITs that invest in stocks or real estate.,Who Should Invest in Oil and Gas UITs?",Investing In Oil And Gas UITs,https://www.investopedia.com/articles/basics/08/oil-gas-unit-investment-trust.asp
"{'joy': 0.36349382996559143, 'sadness': 0.27385076880455017, 'fear': 0.23440247774124146, 'anger': 0.0849924385547638, 'surprise': 0.04326050728559494}","{'oil': 0.37829525831676913, 'crude': 0.2405163997143868, 'etfs': 0.24046485546735, 'investors': 0.21733990264063438, 'price': 0.17274094851948693}","{'extraversion': 0.3179805723287292, 'openness': 0.6641809397211698, 'agreeableness': 0.26721209758206416, 'conscientiousness': 0.6396843921179058}",0.2568948,0.061139328,investopedia,"Performance varies widely depending on the fund, but more importantly, few ETFs tend to closely track the price of crude oil.,Oil is up 36.7% in 2016, but none of the ETFs listed in the table below come even close to this return.,It is becoming increasingly understood that commodity ETFs do a poor job of tracking the price performance of the underlying commodity itself because of the way futures contracts work.,(For more, see: How Oil ETFs Perform Relative to the Oil Price.),Other ETFs performed even worse.","Crude Prices on Fire but Oil ETFs Smolder (USO, OIL)",https://www.investopedia.com/news/crude-prices-fire-oil-etfs-smolder-uso-oil/
"{'fear': 0.29438093304634094, 'surprise': 0.2584673762321472, 'joy': 0.23492667078971863, 'sadness': 0.1655101180076599, 'anger': 0.046714961528778076}","{'share': 0.27868044977722767, 'shell': 0.2537853246411789, 'oil': 0.22403752189643272, 'today': 0.1913225458251867, 'announced': 0.1848381035687495}","{'extraversion': 0.4159331554073399, 'openness': 0.6882087393341776, 'agreeableness': 0.3346995679955733, 'conscientiousness': 0.5800808925053168}",0.9336434,0.783784002,thisismoney,"Anglo-Dutch oil giant Royal Dutch Shell has reported a surge in third quarter earnings amid rising oil prices.,On a reported basis, earnings rose 51 per cent to $5.57billion, which is the equivalent of just over £4.3billion.,Rising: Shell's underlying earnings, on a current cost of supplies basis, came in at of $5.6billion in the third quarter

While the results are strong, they are lower than many analsyts anticipated.,Shell's A class shares are down 2.16 per cent to 2,446p.,The improvement in cash flow confirmed today add support for the payment.",Royal Dutch Shell enjoys third quarter profits boost amid rising oil prices | This is Money,https://www.thisismoney.co.uk/money/markets/article-6341693/Royal-Dutch-Shell-enjoys-quarter-profits-boost-amid-rising-oil-prices.html
"{'fear': 0.4369851350784302, 'joy': 0.3340037763118744, 'sadness': 0.14467132091522217, 'surprise': 0.047258228063583374, 'anger': 0.037081487476825714}","{'production': 0.2364992502816002, 'prices': 0.23034024277682683, 'oil': 0.22345426534970445, 'crude': 0.21322206586214837, 'companies': 0.2067657940004326}","{'extraversion': 0.33839624412989217, 'openness': 0.6494419945177631, 'agreeableness': 0.3413413109486563, 'conscientiousness': 0.6730562636907073}",0.5485092,0.595459343,investopedia,"Over the past three months, crude prices have rebounded strongly and, as of May 27, 2016, the WTI crude contract stands at $49.33.,With the price of oil recovering to nearly $50 a barrel, oil exploration and production companies have soared in value.,As of May 27, 2016, the SPDR S&P Oil & Gas Exploration & Production ETF (NYSEARCA: XOP) had risen more than 43% over the last three months and 18.59% year to date (YTD).,However, Chanos noted that U.S. exploration and production companies lack economic operating models.,Piazza argued that the stocks have exceeded their fundamentals.",Why $50 Oil Won't Save Oil Companies (XOP),https://www.investopedia.com/articles/markets/061516/why-oil-companies-are-trouble-even-50-oil-xop-wfc.asp
